id,word,start_char,type,chain_id
0	Not	0	None	None
1	Line	4	None	None
2	Of	9	None	None
3	Fire	12	None	None
4	Не	17	None	None
5	На	20	None	None
6	Линии	23	None	None
7	Огня	29	None	None
8	Microprose	34	None	None
9	Software	45	None	None
10			54	None	None
11	Ufo	55	None	None
12	:	58	None	None
13	Enemy	60	None	None
14	Unknown	66	None	None
15			73	None	None
16	Они	75	coref	2128
17	знали	79	None	None
18	,	84	None	None
19	что	86	None	None
20	рано	90	None	None
21	или	95	None	None
22	поздно	99	None	None
23	это	106	None	None
24	должно	110	None	None
25	случиться	117	None	None
26	.	126	None	None
27	Поэтому	128	None	None
28	они	136	coref	2128
29	были	140	None	None
30	готовы	145	None	None
31	,	151	None	None
32	когда	153	None	None
33	раздался	159	None	None
34	первый	168	None	None
35	звонок	175	None	None
36	.	181	None	None
37	В	183	None	None
38	час	185	None	None
39	ночи	189	None	None
40	оператора	194	coref	2129
41	911	204	None	None
42	разбудил	208	None	None
43	настойчивый	217	None	None
44	звон	229	None	None
45	телефона	234	None	None
46	.	242	None	None
47	Вяло	244	None	None
48	потянувшись	249	None	None
49	,	260	None	None
50	он	262	coref	2129
51	лениво	265	None	None
52	нашарил	272	None	None
53	трубку	280	None	None
54	негнущимися	287	None	None
55	после	299	None	None
56	сна	305	None	None
57	пальцами	309	None	None
58	.	317	None	None
59			319	None	None
60	Алло	320	None	None
61			324	None	None
62	,	325	None	None
63	-	327	None	None
64	буркнул	329	None	None
65	он	337	coref	2129
66	в	340	None	None
67	трубку	342	None	None
68	.	348	None	None
69	На	350	None	None
70	другом	353	None	None
71	конце	360	None	None
72	провода	366	None	None
73	женский	374	None	None
74	голос	382	None	None
75	,	387	None	None
76	захлебываясь	389	None	None
77	криком	402	None	None
78	выл	409	None	None
79	:	412	None	None
80			414	None	None
81	Их	415	None	None
82	много	418	None	None
83	,	423	None	None
84	они	425	None	None
85	похожи	429	None	None
86	на	436	None	None
87	змей	439	None	None
88	,	443	None	None
89	помогите	445	None	None
90	на	454	None	None
91	...	456	None	None
92			459	None	None
93	Крик	461	None	None
94	так	466	None	None
95	же	470	None	None
96	резко	473	None	None
97	оборвался	479	None	None
98	как	489	None	None
99	и	493	None	None
100	начался	495	None	None
101	.	502	None	None
102	Оператор	504	coref	2129
103	живо	513	None	None
104	представил	518	None	None
105	себе	529	coref	2129
106	как	534	None	None
107	тяжело	538	None	None
108	наваливаясь	545	None	None
109	на	557	None	None
110	стенку	560	None	None
111	телефонной	567	None	None
112	будки	578	None	None
113	,	583	None	None
114	тело	585	None	None
115	опускается	590	None	None
116	на	601	None	None
117	пол	604	None	None
118	,	607	None	None
119	еще	609	None	None
120	сжимая	613	None	None
121	в	620	None	None
122	пальцах	622	None	None
123	ненужную	630	None	None
124	трубку	639	None	None
125	.	645	None	None
126	Сонливость	647	None	None
127	оператора	658	coref	2129
128	улетучилась	668	None	None
129	в	680	None	None
130	одно	682	None	None
131	мгновение	687	None	None
132	.	696	None	None
133	Он	698	coref	2129
134	понял	701	None	None
135	что	707	None	None
136	случилось	711	None	None
137	то	721	None	None
138	,	723	None	None
139	к	725	None	None
140	чему	727	None	None
141	его	732	coref	2129
142	готовили	736	None	None
143	долгие	745	None	None
144	годы	752	None	None
145	.	756	None	None
146	Липкими	758	None	None
147	от	766	None	None
148	страха	769	None	None
149	пальцами	776	None	None
150	он	785	coref	2129
151	сломал	788	None	None
152	пластиковую	795	None	None
153	крышку	807	None	None
154	и	814	None	None
155	с	816	None	None
156	силой	818	None	None
157	вдавил	824	None	None
158	в	831	None	None
159	стол	833	None	None
160	красную	838	None	None
161	кнопку	846	None	None
162	с	853	None	None
163	надписью	855	None	None
164			864	None	None
165	ТРЕВОГА	865	None	None
166			872	None	None
167	.	873	None	None
168	В	875	None	None
169	то	877	None	None
170	же	880	None	None
171	мгновение	883	None	None
172	на	893	None	None
173	базе	896	None	None
174	земных	901	None	None
175	войск	908	None	None
176	в	914	None	None
177	пустыне	916	None	None
178	Сахара	924	None	None
179	раздался	931	None	None
180	оглушительный	940	None	None
181	вой	954	None	None
182	.	957	None	None
183	Люди	959	None	None
184	вскакивали	964	None	None
185	с	975	None	None
186	постелей	977	None	None
187	,	985	None	None
188	хватали	987	None	None
189	оружие	995	None	None
190	,	1001	None	None
191	и	1003	None	None
192	не	1005	None	None
193	было	1008	None	None
194	человека	1013	coref	2130
195	,	1021	None	None
196	сердце	1023	None	None
197	которого	1030	coref	2130
198	не	1039	None	None
199	сжималось	1042	None	None
200	в	1052	None	None
201	предчувствии	1054	None	None
202	чего	1067	None	None
203	-	1071	None	None
204	то	1072	None	None
205	страшного	1075	None	None
206	.	1084	None	None
207	Так	1086	None	None
208	началась	1090	None	None
209	долгая	1099	None	None
210	битва	1106	None	None
211	за	1112	None	None
212	освобождение	1115	None	None
213	Земли	1128	None	None
214	от	1134	None	None
215	инопланетян	1137	None	None
216	.	1148	None	None
217	Прошел	1150	None	None
218	год	1157	None	None
219	.	1160	None	None
220	Уфошники	1162	None	None
221	медленно	1171	None	None
222	,	1179	None	None
223	но	1181	None	None
224	неуклонно	1184	None	None
225	одерживали	1194	None	None
226	верх	1205	None	None
227	.	1209	None	None
228	Дезертирство	1211	None	None
229	и	1224	None	None
230	предательство	1226	None	None
231	стало	1240	None	None
232	обычным	1246	None	None
233	делом	1254	None	None
234	в	1260	None	None
235	земных	1262	None	None
236	войсках	1269	None	None
237	.	1276	None	None
238	Командование	1278	None	None
239	не	1291	None	None
240	наказывало	1294	None	None
241	дезертиров	1305	None	None
242	,	1315	None	None
243	боясь	1317	None	None
244	совсем	1323	None	None
245	остаться	1330	None	None
246	без	1339	None	None
247	защитников	1343	None	None
248	.	1353	None	None
249	Даже	1355	None	None
250	несколько	1360	None	None
251	случайно	1370	None	None
252	оставшихся	1379	None	None
253	в	1390	None	None
254	живых	1392	None	None
255	полковников	1398	None	None
256	и	1410	None	None
257	капитанов	1412	None	None
258	не	1422	None	None
259	могли	1425	None	None
260	вдохнуть	1431	None	None
261	боевой	1440	None	None
262	дух	1447	None	None
263	в	1451	None	None
